mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
201912	102191	319519	15041250	0.4	14996250	15515625	15411750	
201912	102191	331249	16901250	0.42	16841250	14931562	15313500	
201912	102191	875617	14677500	0.38	14677500	15645000	15451500	
201912	102191	779983	15750000	0.45	15750000	15269062	15365250	
201912	102191	546613	13766250	0.34	13758750	16072500	15609750	
201912	102191	190543	17006250	0.27	16706250	14712188	15111000	
201912	102191	465079	16147500	0.44	16147500	15089062	15300750	
201912	102191	840197	14696250	0.33	14512500	15900938	15623250	
201912	102191	246317	15832500	0.33	15828750	15571875	15623250	
201912	102191	425791	14557500	0.4	14445000	15653438	15411750	
201912	102191	115763	15337500	0.39	15198750	15476250	15420750	
201912	102191	584473	14520000	0.28	14208750	15453750	15204750	
201912	102191	691051	17823750	0.37	17381250	14950312	15436500	
201912	102191	442577	15720000	0.44	15615000	15222188	15300750	
201912	102191	223303	16597500	0.39	16443750	15165000	15420750	
201912	102191	425329	14407500	0.34	14355000	15923438	15609750	
201912	102191	148817	15532500	0.35	15476250	15554062	15538500	
201911	102191	593297	13533750	0.38	13533750	12722812	12885000	
201911	102191	841741	12802500	0.41	12333750	12973125	12845250	
201911	102191	791851	14452500	0.31	14452500	12494062	12885750	
201911	102191	109841	13443750	0.43	13331250	12300938	12507000	
201911	102191	388237	12626250	0.32	12547500	12987188	12899250	
201911	102191	858103	13481250	0.35	13481250	12811875	12945750	
201911	102191	389761	13897500	0.34	13751250	12755625	12954750	
201911	102191	572933	12195000	0.33	12195000	13210312	13007250	
201911	102191	393079	14493750	0.36	14347500	12521250	12886500	
201911	102191	890969	13005000	0.39	12690000	13008750	12945000	
201911	102191	503131	14175000	0.4	14141250	12611250	12917250	
201911	102191	575753	12435000	0.39	12435000	13072500	12945000	
201911	102191	993793	13147500	0.35	12911250	12954375	12945750	
201911	102191	167033	11313750	0.31	10987500	13360312	12885750	
201911	102191	999563	12855000	0.23	12551250	12487500	12500250	
201911	102191	234239	13743750	0.32	13657500	12709688	12899250	
201911	102191	292667	12420000	0.39	12382500	13085625	12945000	
201911	102191	943289	14463750	0.42	14186250	12257812	12643500	
201911	102191	501637	12716250	0.34	12667500	13026562	12954750	
201911	102191	151573	14433750	0.35	14100000	12657188	12945750	
201911	102191	726287	14520000	0.33	14520000	12629062	13007250	
